zoneId;Attractivity:Work;Attractivity:Business;Attractivity:Otherhome;Attractivity:Education;Attractivity:Shopping;Attractivity:Leisure;Attractivity:Service;Attractivity:Education_Primary;Attractivity:Education_Secondary;Attractivity:Education_Tertiary;Attractivity:Education_Occup;Attractivity:Leisure_Indoor;Attractivity:Leisure_Outdoor;Attractivity:Leisure_Walk;Attractivity:Shopping_Daily;Attractivity:Shopping_Other;Attractivity:Private_Business;Attractivity:Private_Visit
26;70;0;0;50;1090;2250;620;0;0;0;0;0;0;0;0;0;0;0
27;220;0;0;90;1750;4470;1060;0;0;0;0;0;0;0;0;0;0;0
28;160;0;0;90;660;1130;510;0;0;0;0;0;0;30;0;0;0;0
29;30;0;0;0;30;50;120;0;0;0;0;0;0;40;0;0;0;0
30;40;0;0;0;240;1060;180;0;0;0;0;0;0;0;0;0;0;0
31;130;0;0;20;220;510;130;0;0;0;0;0;0;0;0;0;0;0
32;50;0;0;30;90;180;100;0;0;0;0;0;0;30;0;0;0;0
33;200;0;0;70;130;440;230;0;0;0;0;0;0;190;0;0;0;0
34;100;0;0;40;200;500;100;0;0;0;0;0;0;65;0;0;0;0
35;120;0;0;50;460;990;360;0;0;0;0;0;0;85;0;0;0;0
36;80;0;0;40;230;410;150;0;0;0;0;0;0;25;0;0;0;0
37;30;0;0;30;130;340;80;0;0;0;0;0;0;40;0;0;0;0
38;140;0;0;40;1700;2200;360;0;0;0;0;0;0;35;0;0;0;0
39;150;0;0;30;120;300;70;0;0;0;0;0;0;25;0;0;0;0
40;130;0;0;20;520;1500;320;0;0;0;0;0;0;75;0;0;0;0
41;110;0;0;50;570;150;50;0;0;0;0;0;0;40;0;0;0;0
42;250;0;0;80;460;730;290;0;0;0;0;0;0;65;0;0;0;0
43;110;0;0;60;110;80;280;0;0;0;0;0;0;20;0;0;0;0
44;40;0;0;60;260;570;130;0;0;0;0;0;0;30;0;0;0;0
45;40;0;0;0;930;1140;280;0;0;0;0;0;0;25;0;0;0;0
46;100;0;0;20;1000;1050;400;0;0;0;0;0;0;15;0;0;0;0
47;70;0;0;30;610;360;170;0;0;0;0;0;0;20;0;0;0;0
48;70;0;0;60;2070;2390;360;0;0;0;0;0;0;20;0;0;0;0
49;150;0;0;50;3320;4090;650;0;0;0;0;0;0;35;0;0;0;0
50;110;0;0;80;680;940;380;0;0;0;0;0;0;40;0;0;0;0
51;170;0;0;60;320;330;190;0;0;0;0;0;0;110;0;0;0;0
52;150;0;0;80;590;1250;340;0;0;0;0;0;0;45;0;0;0;0
53;180;0;0;90;570;1220;440;0;0;0;0;0;0;45;0;0;0;0
54;160;0;0;30;890;430;530;0;0;0;0;0;0;55;0;0;0;0
55;190;0;0;70;380;560;350;0;0;0;0;0;0;80;0;0;0;0
